model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
aurora,C5_constant,Agriculture,12,0.3736766576766968,0.007930723651352703,3
aurora,C5_constant,Climate,6,0.8579957087834676,0.0048509308259186675,3
aurora,C5_constant,Climate,8,0.8631333708763123,0.0020632518164445486,3
aurora,C5_constant,Climate,10,0.8654661377271017,0.0010273508070949542,3
aurora,C5_constant,Climate,12,0.8737627466519674,0.0007703016715898645,3
aurora,C5_constant,Economy,6,0.03778361156582832,0.001837646219974019,3
aurora,C5_constant,Economy,8,0.03512360776464144,0.0007633862884102789,3
aurora,C5_constant,Economy,10,0.03255550066630045,0.0007973821006457474,3
aurora,C5_constant,Economy,12,0.03371934965252876,0.0005090900995347607,3
aurora,C5_constant,Energy,12,0.11943031847476959,0.0015322770450500345,3
aurora,C5_constant,Energy,24,0.22534514963626862,0.0016642958563527612,3
aurora,C5_constant,Energy,36,0.29154255986213684,0.0003449574196281802,3
aurora,C5_constant,Energy,48,0.38349438707033795,0.0017851857123412206,3
aurora,C5_constant,Environment,48,0.28055073817571,0.00017892178951708015,3
aurora,C5_constant,Environment,96,0.2846170465151469,9.716256117490314e-05,3
aurora,C5_constant,Environment,192,0.27045218149820965,4.1250465866825944e-05,3
aurora,C5_constant,Environment,336,0.26923465728759766,5.017001235668831e-05,3
aurora,C5_constant,Health,12,1.0942333936691284,0.003077379160545086,3
aurora,C5_constant,Health,24,1.5733409722646077,0.0010867647217736283,3
aurora,C5_constant,Health,36,1.6996031602223713,0.0052917433099284915,3
aurora,C5_constant,Health,48,1.8674157460530598,0.0031838717805157124,3
aurora,C5_constant,Security,6,67.5057856241862,0.08937261250632449,3
aurora,C5_constant,Security,8,70.80921173095703,0.3302214581277018,3
aurora,C5_constant,Security,10,74.90193684895833,0.9499695015995685,3
aurora,C5_constant,Security,12,77.68487803141277,0.13877405351480007,3
aurora,C5_constant,SocialGood,6,0.7121493816375732,0.0017008633371231531,3
aurora,C5_constant,SocialGood,8,0.8124099969863892,0.004534204155246246,3
aurora,C5_constant,SocialGood,10,0.8926453193028768,0.0025097102775666503,3
aurora,C5_constant,SocialGood,12,0.9611488978068033,0.0041005402190055764,3
aurora,C5_constant,Traffic,6,0.15653500457604727,0.0007005036495864201,3
aurora,C5_constant,Traffic,8,0.16047844787438711,0.0006975751953903332,3
aurora,C5_constant,Traffic,10,0.16446093221505484,0.0009180063340492914,3
aurora,C5_constant,Traffic,12,0.16979839404424033,0.00029326669966499763,3
aurora,C6_unimodal,Agriculture,6,0.18121560911337534,0.0034351433619359997,3
aurora,C6_unimodal,Agriculture,8,0.23912363251050314,0.0016404838387323098,3
