model,condition,domain,pred_len,mean,std,cv,n_backbones
tats,C9_zero_priors,Climate,6,3.276541385385725,2.781207623323719,0.8488242009481917,3
tats,C2_empty,Climate,6,3.276541385385725,2.781207623323719,0.8488242009481917,3
tats,C5_constant,Climate,8,3.333512557877435,2.8097309135833526,0.8428739549649116,3
tats,C9_zero_priors,Climate,8,3.3336465623643665,2.8096240447444045,0.8428080158418766,3
tats,C2_empty,Climate,8,3.3336465623643665,2.8096240447444045,0.8428080158418766,3
tats,C9_zero_priors,Traffic,12,4.29708973566691,3.5675250308038216,0.8302188807444442,3
tats,C2_empty,Traffic,12,4.297108047538333,3.5675042857797545,0.8302105151448208,3
tats,C5_constant,Traffic,12,4.2971226423978806,3.567487802896645,0.8302038596007851,3
tats,C2_empty,Energy,12,1.2413432399431865,1.0272037801933724,0.8274937560705492,3
tats,C9_zero_priors,Energy,12,1.2413497964541118,1.0271976341534248,0.8274844343533081,3
tats,C5_constant,Energy,12,1.2413580152723525,1.0271899169867214,0.8274727390078173,3
tats,C6_unimodal,Agriculture,6,0.23181079783373407,0.18010868181725528,0.7769641599975768,3
tats,C5_constant,Energy,24,1.3766430815060933,1.0203794610875336,0.7412084328867615,3
tats,C2_empty,Energy,24,1.376831591129303,1.0201886799231559,0.7409683845838968,3
tats,C9_zero_priors,Energy,24,1.37685160835584,1.0201684178848482,0.740942895874652,3
mmtsflib,C8_oracle,Agriculture,10,0.2742772731516096,0.1977314478490398,0.7209180898475015,3
tats,C5_constant,Energy,36,1.5129147933589087,1.0682806999967784,0.7061076437920389,3
tats,C9_zero_priors,Energy,36,1.5129236082235973,1.0682715745030116,0.7060974980470595,3
tats,C2_empty,Energy,36,1.513059053156111,1.068133964740179,0.705943342073889,3
mmtsflib,C4_crossdomain,Agriculture,10,0.26290906469027203,0.18175771046170275,0.6913329925532538,3
mmtsflib,C3_shuffled,Agriculture,6,0.15196343552735117,0.10498654724685604,0.6908671607911891,3
mmtsflib,C3_shuffled,Agriculture,10,0.26285316712326473,0.18151177357944975,0.6905443657611703,3
mmtsflib,C6_unimodal,Agriculture,10,0.3059145601259337,0.20774575372866033,0.6790973062646612,3
mmtsflib,C1_original,Agriculture,10,0.25817989061276114,0.174874733309515,0.6773367704760791,3
mmtsflib,C8_oracle,Agriculture,8,0.22154400083753797,0.14983407209980792,0.6763174427353771,3
tats,C9_zero_priors,Agriculture,6,15.366033222940233,10.367981486232317,0.6747337673820571,3
tats,C2_empty,Agriculture,6,15.366033222940233,10.367981486232317,0.6747337673820571,3
tats,C5_constant,Agriculture,6,15.36604979303148,10.367958670822189,0.6747315549845523,3
tats,C2_empty,Agriculture,8,15.821769667996302,10.602948588097645,0.6701493455276942,3
tats,C9_zero_priors,Agriculture,8,15.821769667996302,10.602948588097645,0.6701493455276942,3
tats,C5_constant,Agriculture,8,15.821772628360327,10.602943607079798,0.67014890531761,3
mmtsflib,C1_original,Agriculture,6,0.14747714127103487,0.09862136709387458,0.6687230729040734,3
tats,C9_zero_priors,Energy,48,1.6073427233431072,1.0741669658470088,0.6682874475039475,3
tats,C2_empty,Energy,48,1.6073814001348283,1.0741265691579323,0.6682462351921167,3
tats,C5_constant,Energy,48,1.6073875294791327,1.074120118297536,0.668239673755339,3
