model,backbone,condition,seed,domain,pred_len,success,mse,mae,wall_s,host
tats,DLinear,C2_empty,2022,Energy,12,True,2.6633083820343018,1.5487571954727173,20.885776479000924,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Environment,96,True,0.49890756607055664,0.4999827444553375,92.29353385500144,ip-172-31-41-203
tats,DLinear,C2_empty,2022,SocialGood,8,True,4.083680152893066,1.7343387603759766,22.271326598995074,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Agriculture,12,True,25.580772399902344,5.039351463317871,19.24091664199659,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Health,12,True,3.002401351928711,1.1755380630493164,22.202590387001692,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Traffic,10,True,9.367853164672852,3.015526056289673,18.342376096996304,ip-172-31-41-203
tats,DLinear,C2_empty,2022,SocialGood,10,True,4.2589850425720215,1.7765921354293823,20.177825562997896,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Economy,12,True,0.10659273713827133,0.2668547034263611,20.08146074799879,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Health,24,True,2.7767767906188965,1.115668773651123,23.467133729995112,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Traffic,8,True,8.921989440917969,2.9430313110351562,19.502484303004167,ip-172-31-41-203
tats,DLinear,C5_constant,2021,Climate,8,True,7.930102348327637,2.6050941944122314,29.11670060607139,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Economy,8,True,0.08957841247320175,0.22920750081539154,29.029048549942672,ip-172-31-41-215
tats,DLinear,C5_constant,2021,SocialGood,12,True,4.211057662963867,1.7503283023834229,28.810618604999036,ip-172-31-41-215
tats,DLinear,C5_constant,2021,SocialGood,6,True,4.104323387145996,1.746716022491455,32.08823920902796,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Energy,36,True,2.968759298324585,1.6167086362838745,32.98189368704334,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Health,36,True,2.7516324520111084,1.136161208152771,31.975054997950792,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Agriculture,10,True,25.75283432006836,5.061005592346191,26.107030436978675,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Climate,6,True,7.160195827484131,2.4596641063690186,26.47961692791432,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Economy,6,True,0.13992296159267426,0.3183762729167938,29.195178798981942,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Environment,192,True,0.38475510478019714,0.4270082712173462,87.27721798000857,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Agriculture,8,True,26.19510841369629,5.103073596954346,29.15370148990769,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Security,12,True,118.00792694091797,5.329812049865723,26.96705599501729,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Security,8,True,115.4693603515625,5.220405578613281,27.517537249950692,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Energy,24,True,2.7267372608184814,1.5535768270492554,32.778743711067364,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Climate,12,True,7.289221286773682,2.4784348011016846,26.88498388393782,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Climate,10,True,7.456687927246094,2.5143661499023438,28.488268367014825,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Traffic,12,True,8.966082572937012,2.9444284439086914,28.095479482086375,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Security,6,True,111.17830657958984,4.953174591064453,28.821451731026173,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Environment,48,True,0.5885071158409119,0.5749981999397278,70.2009234810248,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Economy,10,True,0.08088301122188568,0.23416371643543243,30.1036085030064,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Energy,48,True,3.0814151763916016,1.6249490976333618,31.715049240970984,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Traffic,6,True,8.881267547607422,2.93363356590271,31.0203134160256,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Security,10,True,116.83634948730469,5.2704901695251465,29.746820586035028,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Agriculture,6,True,24.2617130279541,4.915424823760986,29.665661146049388,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Environment,336,True,0.5288159847259521,0.5321987271308899,107.98749894695356,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Health,48,True,2.815938711166382,1.1684720516204834,30.187308241962455,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Energy,12,True,2.5701591968536377,1.5182205438613892,32.050139155006036,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Environment,96,True,0.4973262846469879,0.49847644567489624,89.14676716597751,ip-172-31-41-215
tats,DLinear,C5_constant,2021,SocialGood,8,True,4.603768348693848,1.8756221532821655,28.976141431950964,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Agriculture,12,True,25.780868530273438,5.0594658851623535,28.08150100009516,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Health,12,True,2.925377130508423,1.152876615524292,30.79004011093639,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Traffic,10,True,9.356717109680176,3.016855001449585,28.14217958203517,ip-172-31-41-215
tats,DLinear,C5_constant,2021,SocialGood,10,True,4.337329864501953,1.793965458869934,33.40178884204943,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Economy,12,True,0.09776603430509567,0.2537368834018707,29.253556217066944,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Health,24,True,2.773998260498047,1.1153349876403809,30.135368456947617,ip-172-31-41-215
tats,DLinear,C5_constant,2021,Traffic,8,True,9.83981990814209,3.090834617614746,28.076259066001512,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Climate,8,True,6.816198348999023,2.385338306427002,27.125789037090726,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Economy,8,True,0.19299672544002533,0.38309240341186523,29.43529919802677,ip-172-31-41-215
tats,DLinear,C5_constant,2023,SocialGood,12,True,4.1758928298950195,1.739923119544983,29.66459270392079,ip-172-31-41-215
tats,DLinear,C5_constant,2023,SocialGood,6,True,4.197624206542969,1.770711898803711,30.777465160004795,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Energy,36,True,2.9159348011016846,1.600504994392395,29.481533385114744,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Health,36,True,2.773637533187866,1.1360180377960205,29.298040709923953,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Agriculture,10,True,25.93310546875,5.076537132263184,29.934731042943895,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Climate,6,True,7.300804138183594,2.4857940673828125,30.497429503011517,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Economy,6,True,0.13295525312423706,0.30137279629707336,28.281179572921246,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Environment,192,True,0.38914430141448975,0.4294220507144928,86.5292495880276,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Agriculture,8,True,23.882150650024414,4.872918128967285,25.987709095003083,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Security,12,True,118.0587158203125,5.325917720794678,29.050052118953317,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Security,8,True,113.43633270263672,5.079812049865723,28.923481123987585,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Energy,24,True,2.7470648288726807,1.5587793588638306,30.67698897595983,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Climate,12,True,7.289997577667236,2.475741147994995,29.42420144099742,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Climate,10,True,7.56387186050415,2.5352835655212402,27.647939432994463,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Traffic,12,True,8.923271179199219,2.9342219829559326,27.17178961902391,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Security,6,True,111.33135986328125,4.964762210845947,29.895735656027682,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Environment,48,True,0.5966076850891113,0.5808925032615662,67.57333835493773,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Economy,10,True,0.08604113012552261,0.23890969157218933,26.535656229010783,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Energy,48,True,3.012296199798584,1.603600263595581,31.503116174950264,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Traffic,6,True,9.102049827575684,2.9696156978607178,29.015609515015967,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Security,10,True,117.140625,5.287434101104736,27.80223626701627,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Agriculture,6,True,24.529451370239258,4.941943645477295,30.775469689047895,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Environment,336,True,0.5144355297088623,0.5240516662597656,104.14264701190405,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Health,48,True,2.77022647857666,1.154815912246704,31.306241038953885,ip-172-31-41-215
