model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,DLinear,C10_empty_keep_priors,2022,Climate,10,1.212655782699585,0.8916969299316406,38.08924662898062
mmtsflib,DLinear,C10_empty_keep_priors,2022,Climate,12,1.2138882875442505,0.8962407112121582,40.794086159032304
mmtsflib,DLinear,C10_empty_keep_priors,2022,Economy,6,0.08344743400812149,0.2367391139268875,32.12524909398053
mmtsflib,DLinear,C10_empty_keep_priors,2022,Economy,8,0.035725127905607224,0.15689101815223694,26.020885587029625
mmtsflib,DLinear,C10_empty_keep_priors,2022,Economy,10,0.08200430870056152,0.2382327765226364,27.897935430984944
mmtsflib,DLinear,C10_empty_keep_priors,2022,Economy,12,0.054417457431554794,0.18457181751728058,23.348603683989495
mmtsflib,DLinear,C10_empty_keep_priors,2022,Energy,12,0.2317482978105545,0.3520815074443817,56.2516309429775
mmtsflib,DLinear,C10_empty_keep_priors,2022,Energy,24,0.3118491470813751,0.41653427481651306,54.53368726099143
mmtsflib,DLinear,C10_empty_keep_priors,2022,Energy,36,0.37716665863990784,0.45734384655952454,58.64236670196988
mmtsflib,DLinear,C10_empty_keep_priors,2022,Energy,48,0.4961230754852295,0.5299543142318726,53.61399648798397
mmtsflib,DLinear,C10_empty_keep_priors,2022,Environment,48,0.46553662419319153,0.5304566025733948,224.14812430099119
mmtsflib,DLinear,C10_empty_keep_priors,2022,Environment,96,0.544687032699585,0.5996789932250977,210.77790375897894
mmtsflib,DLinear,C10_empty_keep_priors,2022,Environment,192,0.6106542944908142,0.6671826839447021,95.09675437898841
mmtsflib,DLinear,C10_empty_keep_priors,2022,Environment,336,0.5461543798446655,0.6100292801856995,80.77332632202888
mmtsflib,DLinear,C10_empty_keep_priors,2022,Health,12,1.6585248708724976,0.823819100856781,51.961386295966804
mmtsflib,DLinear,C10_empty_keep_priors,2022,Health,24,1.7681561708450317,0.9213858246803284,42.54783326003235
mmtsflib,DLinear,C10_empty_keep_priors,2022,Health,36,1.671927571296692,0.8648408651351929,48.86214658000972
