model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
tats,Autoformer,C11_constant_keep_priors,2021,Energy,36,0.4630643129348755,0.5513138175010681,54.276265972992405
tats,Autoformer,C11_constant_keep_priors,2021,Energy,48,0.533227801322937,0.5944980382919312,58.931110256002285
tats,Autoformer,C11_constant_keep_priors,2021,Environment,48,0.2944495677947998,0.3951500654220581,401.22294919200067
tats,Autoformer,C11_constant_keep_priors,2021,Environment,96,0.3324531316757202,0.41367337107658386,538.52028720401
tats,Autoformer,C11_constant_keep_priors,2021,Environment,192,0.3195344805717468,0.4329024851322174,477.91727718700713
tats,Autoformer,C11_constant_keep_priors,2021,Environment,336,0.32613328099250793,0.44048628211021423,533.3078945179877
tats,Autoformer,C11_constant_keep_priors,2021,Health,12,1.34982168674469,0.8463056087493896,47.96848833799595
tats,Autoformer,C11_constant_keep_priors,2021,Health,24,1.4929192066192627,0.894500195980072,42.67959751401213
tats,Autoformer,C11_constant_keep_priors,2021,Health,36,1.5446969270706177,0.8634981513023376,48.712315223994665
tats,Autoformer,C11_constant_keep_priors,2021,Health,48,1.738236904144287,0.9716880321502686,48.633260463015176
tats,Autoformer,C11_constant_keep_priors,2021,Security,6,104.53348541259766,4.5251145362854,28.25390995600901
tats,Autoformer,C11_constant_keep_priors,2021,Security,8,106.43182373046875,4.629144668579102,29.552032120001968
tats,Autoformer,C11_constant_keep_priors,2021,Security,10,108.1363754272461,4.756153583526611,29.09841500899347
tats,Autoformer,C11_constant_keep_priors,2021,Security,12,109.54853057861328,4.756322383880615,29.143162022985052
tats,Autoformer,C11_constant_keep_priors,2021,SocialGood,6,0.9996703863143921,0.5882746577262878,40.36183847300708
tats,Autoformer,C11_constant_keep_priors,2021,SocialGood,8,1.1358833312988281,0.6164690256118774,40.863216988014756
tats,Autoformer,C11_constant_keep_priors,2021,SocialGood,10,1.1046184301376343,0.6215495467185974,36.32227655898896
tats,Autoformer,C11_constant_keep_priors,2021,SocialGood,12,1.1102453470230103,0.633784294128418,40.90495624599862
tats,Autoformer,C11_constant_keep_priors,2021,Traffic,6,0.1598053276538849,0.2328283041715622,33.07727601499937
tats,Autoformer,C11_constant_keep_priors,2021,Traffic,8,0.1747538298368454,0.2531849443912506,34.50374852801906
tats,Autoformer,C11_constant_keep_priors,2021,Traffic,10,0.1732054203748703,0.24830681085586548,32.46010127400223
tats,Autoformer,C11_constant_keep_priors,2021,Traffic,12,0.22367113828659058,0.2710821330547333,33.65547723101918
tats,Autoformer,C11_constant_keep_priors,2022,Agriculture,6,0.10854899138212204,0.23833341896533966,31.184146004990907
tats,Autoformer,C11_constant_keep_priors,2022,Agriculture,8,0.12063721567392349,0.2605753540992737,33.51794275600696
tats,Autoformer,C11_constant_keep_priors,2022,Agriculture,10,0.13495945930480957,0.2684984803199768,28.792463995006983
tats,Autoformer,C11_constant_keep_priors,2022,Agriculture,12,0.16125334799289703,0.2910677492618561,31.80500875902362
tats,Autoformer,C11_constant_keep_priors,2022,Climate,6,0.9433981776237488,0.7632172703742981,30.847706626998843
tats,Autoformer,C11_constant_keep_priors,2022,Climate,8,1.1019611358642578,0.8183525204658508,32.159103584010154
tats,Autoformer,C11_constant_keep_priors,2022,Climate,10,0.9714502096176147,0.7846725583076477,29.128640505994554
tats,Autoformer,C11_constant_keep_priors,2022,Climate,12,0.9758132100105286,0.783089816570282,32.01544339800603
tats,Autoformer,C11_constant_keep_priors,2022,Economy,6,0.047676071524620056,0.17009635269641876,31.637232210996444
