model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
aurora,default,C10_empty_keep_priors,2023,Traffic,10,0.16174925863742828,0.28782668709754944,14.6487561899703
aurora,default,C10_empty_keep_priors,2023,Traffic,12,0.16825146973133087,0.293981671333313,7.208472250960767
aurora,default,C11_constant_keep_priors,2021,Agriculture,6,0.18597380816936493,0.2977232038974762,7.359622561023571
aurora,default,C11_constant_keep_priors,2021,Agriculture,8,0.23966975510120392,0.3311147391796112,8.429417533043306
aurora,default,C11_constant_keep_priors,2021,Agriculture,10,0.3016727566719055,0.36544039845466614,7.2067986149922945
aurora,default,C11_constant_keep_priors,2021,Agriculture,12,0.3808726668357849,0.4056829810142517,8.727958312025294
aurora,default,C11_constant_keep_priors,2021,Climate,6,0.8562497496604919,0.7447642087936401,8.839782309019938
aurora,default,C11_constant_keep_priors,2021,Climate,8,0.86362224817276,0.7479411959648132,8.588173691008706
aurora,default,C11_constant_keep_priors,2021,Climate,10,0.8661516904830933,0.7482463121414185,8.780118711991236
aurora,default,C11_constant_keep_priors,2021,Climate,12,0.8746197819709778,0.7509861588478088,8.60941690200707
aurora,default,C11_constant_keep_priors,2021,Economy,6,0.036393921822309494,0.15417248010635376,8.586706349044107
aurora,default,C11_constant_keep_priors,2021,Economy,8,0.035557135939598083,0.1521095186471939,8.589267527975608
aurora,default,C11_constant_keep_priors,2021,Economy,10,0.03321406990289688,0.14681527018547058,8.447644719970413
aurora,default,C11_constant_keep_priors,2021,Economy,12,0.033180635422468185,0.14773699641227722,7.940915935032535
aurora,default,C11_constant_keep_priors,2021,Energy,12,0.1184985563158989,0.25424498319625854,11.593446749029681
aurora,default,C11_constant_keep_priors,2021,Energy,24,0.22395682334899902,0.3523763120174408,10.97026678302791
aurora,default,C11_constant_keep_priors,2021,Energy,36,0.29120004177093506,0.40866780281066895,10.845332622993737
aurora,default,C11_constant_keep_priors,2021,Energy,48,0.382472962141037,0.4730292558670044,19.822175873967353
aurora,default,C11_constant_keep_priors,2021,Environment,48,0.28036653995513916,0.3800863027572632,82.87091336603044
aurora,default,C11_constant_keep_priors,2021,Environment,96,0.2846001386642456,0.382365345954895,103.94581457501044
aurora,default,C11_constant_keep_priors,2021,Environment,192,0.27040520310401917,0.3758881092071533,125.37961830303539
aurora,default,C11_constant_keep_priors,2021,Environment,336,0.26918572187423706,0.3778507709503174,128.96491057000821
aurora,default,C11_constant_keep_priors,2021,Health,12,1.0910660028457642,0.6683644652366638,22.619517487008125
aurora,default,C11_constant_keep_priors,2021,Health,24,1.5721757411956787,0.8473742008209229,13.723449048993643
aurora,default,C11_constant_keep_priors,2021,Health,36,1.6973720788955688,0.9220612049102783,18.646631270006765
aurora,default,C11_constant_keep_priors,2021,Health,48,1.868099331855774,0.9648066163063049,14.08684571099002
aurora,default,C11_constant_keep_priors,2021,Security,6,67.56890106201172,3.8887269496917725,12.557274437043816
aurora,default,C11_constant_keep_priors,2021,Security,8,71.00155639648438,4.04043436050415,11.724957595055457
aurora,default,C11_constant_keep_priors,2021,Security,10,74.26292419433594,4.139081001281738,11.623999000992626
aurora,default,C11_constant_keep_priors,2021,Security,12,77.83938598632812,4.257558345794678,11.369374121015426
