condition,domain,gradnorm_mean,attn_entropy_rel_mean,attn_max_weight_mean,divergence_mean_sq
C8_oracle,Traffic,0.0021233333333333334,0.9880266666666667,0.14089466666666667,0.0011616666666666665
C9_zero_priors,Agriculture,0.28933633333333336,0.966609,0.174638,0.017875
C9_zero_priors,Climate,0.007501333333333333,0.9873573333333333,0.14242533333333332,0.027247999999999998
C9_zero_priors,Economy,1.3798353333333333,0.9656013333333333,0.17472966666666667,0.04673466666666667
C9_zero_priors,Energy,0.48162466666666665,0.9647643333333334,0.17061533333333334,0.036504666666666664
C9_zero_priors,Environment,0.008534,0.98279,0.150697,0.013319333333333334
C9_zero_priors,Health,0.017621333333333333,0.973111,0.1635093333333333,0.022314
C9_zero_priors,Security,0.17984733333333333,0.9819936666666665,0.14724,0.045727
C9_zero_priors,SocialGood,0.018532333333333335,0.9687083333333334,0.16343266666666667,0.04304266666666667
C9_zero_priors,Traffic,0.0015986666666666666,0.987778,0.141169,0.001639
