condition,seed,domain,pred_len,seq_len,gradnorm_mean,gradnorm_std,gradnorm_n,attn_entropy_rel_mean,attn_max_weight_mean,attn_n_batches,divergence_mean_sq,divergence_max_sq,divergence_n_samples
C6_unimodal,2023,Energy,8,1056,0.047865,0.036167,3,0.964575,0.171405,3,0.032168,0.086352,10
C8_oracle,2021,Agriculture,8,192,0.229358,0.218644,3,0.967339,0.173655,3,0.021592,0.109413,10
C8_oracle,2022,Agriculture,8,192,0.241145,0.150457,3,0.967115,0.174527,3,0.042851,0.117499,10
C8_oracle,2023,Agriculture,8,192,0.19566,0.035977,3,0.966531,0.175006,3,0.0243,0.065048,10
C8_oracle,2021,Economy,8,192,0.598469,0.549357,3,0.966735,0.173081,3,0.041973,0.119309,10
C8_oracle,2022,Economy,8,192,0.485232,0.741249,3,0.966397,0.174026,3,0.050429,0.103216,10
C8_oracle,2023,Economy,8,192,0.518926,0.417356,3,0.966463,0.173632,3,0.03124,0.07316,10
C8_oracle,2021,Health,8,96,0.049989,0.083238,3,0.973877,0.162607,3,0.04128,0.134066,10
C8_oracle,2022,Health,8,96,0.004328,0.002972,3,0.973867,0.162218,3,0.011046,0.025733,10
C8_oracle,2023,Health,8,96,0.010863,0.017114,3,0.973848,0.161965,3,0.027982,0.092934,10
C8_oracle,2021,Climate,8,192,0.001762,0.000988,3,0.9876,0.142069,3,0.025598,0.04606,10
C8_oracle,2022,Climate,8,192,0.004159,0.002687,3,0.987781,0.141666,3,0.024108,0.058366,10
C8_oracle,2023,Climate,8,192,0.010231,0.009239,3,0.987542,0.142396,3,0.021374,0.041034,10
C8_oracle,2021,Security,8,220,0.478447,0.281236,3,0.98284,0.145837,3,0.037486,0.064544,10
C8_oracle,2022,Security,8,220,0.039566,0.042642,3,0.982425,0.146765,3,0.030446,0.04584,10
C8_oracle,2023,Security,8,220,0.168698,0.186643,3,0.982544,0.146707,3,0.060433,0.101414,10
C8_oracle,2021,Traffic,8,96,0.001395,0.001676,3,0.987884,0.141051,3,0.001328,0.002425,10
C8_oracle,2022,Traffic,8,96,0.00223,0.00324,3,0.987957,0.141259,3,0.000875,0.001872,10
C8_oracle,2023,Traffic,8,96,0.002745,0.00418,3,0.988239,0.140374,3,0.001282,0.002619,10
C8_oracle,2021,Environment,8,528,0.038103,0.052666,3,0.983234,0.14987,3,0.004957,0.024206,10
C8_oracle,2022,Environment,8,528,0.009884,0.006519,3,0.983147,0.150109,3,0.0045,0.009589,10
C8_oracle,2023,Environment,8,528,0.049051,0.078227,3,0.983231,0.149801,3,0.007402,0.018833,10
C8_oracle,2021,SocialGood,8,192,0.011944,0.005699,3,0.969477,0.162234,3,0.071075,0.130898,10
C8_oracle,2022,SocialGood,8,192,0.00616,0.003264,3,0.968823,0.163841,3,0.30871,0.696572,10
C8_oracle,2023,SocialGood,8,192,0.019063,0.013299,3,0.969371,0.162821,3,0.183976,0.828706,10
C8_oracle,2021,Energy,8,1056,0.322514,0.515311,3,0.966211,0.169069,3,0.329887,2.896334,10
C8_oracle,2022,Energy,8,1056,0.037092,0.031847,3,0.965852,0.169262,3,0.086949,0.348718,10
C8_oracle,2023,Energy,8,1056,0.056571,0.051975,3,0.965884,0.169324,3,0.062218,0.193761,10
C9_zero_priors,2021,Agriculture,8,192,0.043326,0.038542,3,0.966779,0.174345,3,0.016544,0.059284,10
C9_zero_priors,2022,Agriculture,8,192,0.513526,0.690316,3,0.966501,0.175025,3,0.023254,0.071996,10
C9_zero_priors,2023,Agriculture,8,192,0.311157,0.062467,3,0.966547,0.174544,3,0.013827,0.035621,10
C9_zero_priors,2021,Economy,8,192,3.325531,5.033438,3,0.965452,0.174739,3,0.03117,0.085423,10
C9_zero_priors,2022,Economy,8,192,0.748342,0.60428,3,0.965729,0.174751,3,0.057407,0.157396,10
C9_zero_priors,2023,Economy,8,192,0.065633,0.046275,3,0.965623,0.174699,3,0.051627,0.225861,10
C9_zero_priors,2021,Health,8,96,0.00777,0.006864,3,0.973017,0.164156,3,0.019783,0.084975,10
C9_zero_priors,2022,Health,8,96,0.040981,0.043049,3,0.973096,0.163515,3,0.020256,0.063806,10
C9_zero_priors,2023,Health,8,96,0.004113,0.005559,3,0.97322,0.162857,3,0.026903,0.090589,10
C9_zero_priors,2021,Climate,8,192,0.017464,0.028109,3,0.987436,0.142213,3,0.022822,0.041233,10
C9_zero_priors,2022,Climate,8,192,0.000815,0.000403,3,0.98734,0.142359,3,0.032326,0.077877,10
C9_zero_priors,2023,Climate,8,192,0.004225,0.005492,3,0.987296,0.142704,3,0.026596,0.053753,10
C9_zero_priors,2021,Security,8,220,0.216537,0.292331,3,0.982011,0.147404,3,0.053134,0.142746,10
C9_zero_priors,2022,Security,8,220,0.2394,0.330409,3,0.981989,0.147234,3,0.046514,0.08183,10
C9_zero_priors,2023,Security,8,220,0.083605,0.033382,3,0.981981,0.147082,3,0.037533,0.083825,10
C9_zero_priors,2021,Traffic,8,96,0.002347,0.003135,3,0.987803,0.141592,3,0.001473,0.002661,10
C9_zero_priors,2022,Traffic,8,96,0.001142,0.001355,3,0.987886,0.14079,3,0.002484,0.00749,10
C9_zero_priors,2023,Traffic,8,96,0.001307,0.001132,3,0.987645,0.141125,3,0.00096,0.002216,10
C9_zero_priors,2021,Environment,8,528,0.009306,0.008728,3,0.982743,0.150883,3,0.002627,0.008959,10
C9_zero_priors,2022,Environment,8,528,0.008797,0.003645,3,0.98285,0.150524,3,0.02857,0.202533,10
C9_zero_priors,2023,Environment,8,528,0.007499,0.00464,3,0.982777,0.150684,3,0.008761,0.038866,10
C9_zero_priors,2021,SocialGood,8,192,0.011307,0.003821,3,0.969022,0.162907,3,0.054779,0.169767,10
C9_zero_priors,2022,SocialGood,8,192,0.010592,0.005169,3,0.968894,0.163326,3,0.051427,0.142735,10
C9_zero_priors,2023,SocialGood,8,192,0.033698,0.024693,3,0.968209,0.164065,3,0.022922,0.062316,10
C9_zero_priors,2021,Energy,8,1056,0.17236,0.143792,3,0.964687,0.170625,3,0.031348,0.119986,10
C9_zero_priors,2022,Energy,8,1056,0.031889,0.023071,3,0.964901,0.170348,3,0.024053,0.041989,10
C9_zero_priors,2023,Energy,8,1056,1.240625,1.210016,3,0.964705,0.170873,3,0.054113,0.239449,10
